actor,año_nacimiento,que_hace,conocido_por,lista premios
Semyon Serzin,1987.0,"['Reparto', 'Dirección', 'Edición']","['Chelovek iz Podolska (2020)', 'Pokhozhiy chelovek (2022)']",[]
Merila Zare'i,1971.0,"['Reparto', 'Dirección de casting']",['A propósito de Elly (2009)'],"['Berlin International Film Festival', 'Fajr Film Festival', 'Asia Pacific Screen Awards', 'Iran Cinema Celebration', 'Hafez Ceremony']"
Jelani Lamar Butler,,['Reparto'],[],
Evan Parke,1968.0,"['Reparto', 'Producción', 'Equipo ejecutivo']","['King Kong (2005)', 'El planeta de los simios (2001)', 'Equipo a la fuerza (2000)']",['Spike Video Game Awards']
Rares Hontzu,,['Reparto'],[],
Andor Lukáts,1943.0,"['Reparto', 'Dirección', 'Guion']","['Prima Primavera (2009)', 'Mázli (2008)', 'Portugál (2000)']","['Hungarian Film Week', 'Hungarian Film Critics Awards', 'Stockholm City Film Festival']"
Fabian Storniolo,,['Reparto'],[],
Freddy Rodríguez,1995.0,"['Reparto', 'Producción']","['Poseidón (2006)', 'Vidas al límite (2005)']","['ALMA Awards', 'Hollywood Film Awards', 'Imagen Foundation Awards', 'Nosotros Golden Eagle Awards', 'Screen Actors Guild Awards', 'ShoWest Convention, USA']"
Pouria Imani,,['Reparto'],[],
Ryna Schickler,,['Reparto'],[],
Michael Green,1973.0,"['Producción', 'Guion', 'Equipos adicionales']","['Logan (2017)', 'Blade Runner 2049 (2017)', 'Samurái de ojos azules (2023)']","['Kansas City Film Critics Circle Awards', 'Indiana Film Journalists Association, US', 'Utah Film Critics Association Awards']"
Ahn Gye Beom,,['Reparto'],[],
Chen Shilony,,['Reparto'],[],
Pratyush Sharma,1999.0,"['Reparto', 'Guion', 'Dirección']","['Final Draft (2022)', 'Documenting Love (2023)']",
Robert Gwisdek,1984.0,"['Reparto', 'Dirección', 'Edición']","['Circuit (2013)', 'Das Heimweh der Feldforscher (2011)', 'Kohlhaas oder die Verhältnismäßigkeit der Mittel (2012)']","['German Film Awards', 'Günter Strack TV Award', 'German Screen Actors Awards', 'Busho, Budapest International Short Film Festival']"
Tengku Rina,,['Reparto'],[],
