puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
4.2,David Scheinmann,"['Danny Scheinmann', 'Sarah Sutcliffe']","Relationships rule our lives, whether we're in one and trying to get out, out of one and trying to get in, or in one and just trying to hang on. Commitment may be the hardest thing to pledge, but a one-night-stand can no longer be just harmless fun. Are love and fidelity out of fashion? See what happens when a group of friends have a weekend away in the country. The W... Leer todo",92,Comedia,the west wittering affair,2006
6.4,Frank Coraci,"['Steve Koren', ""Mark O'Keefe""]",-,107,Comedia,click,2006
3.4,"['Frank Lama', 'Joel Denning']",Seth Hurwitz,A dysfunctional family vacations on Maryland shore during a deadly attack of intelligent snakehead fish.,95,Comedia,swarm of the snakehead,2006
6.1,Jeff Garlin,Jeff Garlin,"About a man who has trouble with his job, trouble with women, and uses food to deal with it all.",80,Comedia,i want someone to eat cheese with,2006
4.6,BJ Davis,Julia Davis,"In this hilarious adventure, starring Raquel Welch, Burt Reynolds, and Robert Loggia in their last film together, when three retired war vets stumble upon a stash of mob money, they find themselves running from both the Mafia and the feds.",88,Comedia,forget about it,2006
6.8,Mischa Alexander,Mischa Alexander,Taeke's lifelong passion for pole sitting takes an interesting turn when he tries to surpass the record of 250 days.,100,Comedia,sportman van de eeuw,2006
4.4,Brian Robbins,"['Cormac Wibberley', 'Marianne Wibberley', 'Geoff Rodkey']",-,98,Comedia,the shaggy dog,2006
5.4,"['Michael Hegner', 'Karsten Kiilerich']","['Hans Christian Andersen', 'Michael Hegner', 'Mark Hodkinson']",This modern version of Hans Christian Andersen's fairytale is charming. Ratso is a streetwise chancer of a rat whose theatre show is struggling. Then he finds an egg that hatches a mutant swan. Ratso soon sees the potential of showing Ugly as a freak. But things go awry when rodent heavies appear...,89,Comedia,the ugly duckling and me!,2006
5.9,Susannah Grant,Susannah Grant,-,124,Comedia,catch and release,2006
5.8,Gyula Nemes,"['Tamás Beregi', 'Gyula Nemes']",-,76,Comedia,egyetleneim,2006
4.3,"['Daniel Pensa', 'Miguel Angel Rocca']",Alan Pauls,Two sons decide to hunt down a man who impregnated their 70-year-old mother who is in a hospital after falling into a coma.,110,Comedia,arizona sur,2006
5.4,Donald Petrie,"['I. Marlene King', 'Amy Harris', 'Jonathan Bernstein']",-,108,Comedia,just my luck,2006
6.5,Enrique Gabriel,"['Enrique Gabriel', 'Lucia Lipschutz']",-,89,Comedia,suspiros del corazón,2006
4.8,Rajeev Virani,"['Brad Listermann', 'Richard Martini', 'Kashmira Shah']","My Bollywood Bride tells the story of Alex, a copy-writer dreaming of being an adventure novelist someday, who meets and romances Indian beauty Reena, while she is vacationing in California. Torn by her blossoming feelings for Alex and her Indian family values and obligations, Reena returns home without saying goodbye. Alex, distraught by the turn of events, decides t... Leer todo",95,Comedia,my bollywood bride,2006
3.7,Martin Guigui,Martin Guigui,A guy starts a fake casting agency in hopes that he will meet his soul mate.,83,Comedia,cattle call,2006
1.8,Michael T. Fitzgerald Jr.,Lee Eric Smith,"Nine friends one crazy night, grad night.",89,Comedia,grad night,2006
