,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"128,6.1,Roberto Santucci,""['Bart Mallard', 'Roberto Santucci']"",""A Brazilian man comes to Los Angeles in search of his sister. His quest leads him into a world of LA lowlifes, bumbling, small time crooks, a happy homeless person, a lonely prositute, the Mexican mafia, and """"El Matador""""!"",94,olé: um movie cabra da peste,2000";;;;;
129,6.7,Jonathan Lynn,Mitchell Kapner,-,98,the whole nine yards,2000;;;;;
130,5.5,David W. Smith,David W. Smith,-,-,life-in-progress,2000;;;;;
131,6.1,Betty Thomas,Susannah Grant,-,103,28 days,2000;;;;;
"132,5.7,Uli Edel,""['Angela Sommer-Bodenburg', 'Karey Kirkpatrick', 'Larry Wilson']"",-,91,the little vampire,2000";;;;;
"133,7.7,""['Joel Coen', 'Ethan Coen']"",""['Homer', 'Ethan Coen', 'Joel Coen']"",-,107,""o brother, where art thou?"",2000";;;;;
"134,4.1,David A. Stewart,""['Dick Clement', 'Ian La Frenais', 'David A. Stewart']"",The film is an edgy black comedy set in swinging London in the late 60s. The All Saints girls play three street wise sisters who head 'up West' to rob and generally cause trouble.,110,honest,2000";;;;;
"135,6.6,Howard Deutch,""['Vince Mc', 'Kewin']"",-,118,the replacements,2000";;;;;
136,-,Ian Mantgani,Ian Mantgani,-,-,jim's camera,2000;;;;;
"137,4.3,Edzard Onneken,""['Bernd Eilert', 'Michel Bergmann', 'Otto Waalkes']"",""Otto (Otto Walkes) tells his life story to a stranger he meets in Central Park: he has been a foundling and always dreamed about becoming a sailor on the """"Queen Henry"""", because his adoptive grandfather (Otto Walkes) suggested he has been captain there. When Otto finally gets aboard some catastrophes lie ahead.."",92,otto - der katastrofenfilm,2000";;;;;
"138,4.7,Alfonso Arau,Bill Wilson,""A small New Mexican village discovers a severed hand that is considered a miracle of God, when it actually belongs to a murdered spouse with a husband in search of it."",95,picking up the pieces,2000";;;;;
"139,4.2,James Cellan Jones,""['Tom Barlow', """"Denise O'Kelly""""]"",""Malcolm is married - to two women. This is the story of him trying to hide his double life. Not difficult as a taxi driver with night shifts and overtime. But when both his wives insist in attending the same pop concert, Malcolm is in serious trouble."",76,married 2 malcolm,2000";;;;;
"140,5.7,Denys Arcand,""['Denys Arcand', 'Jacob Potashnik']"",A young girl is plucked from small-town obscurity and thrust into the spotlight of the glamorous world of super-models.,100,stardom,2000";;;;;
"141,5.9,Bill Robertson,Bill Robertson,""Ben Reddick is a writer for Boomer magazine in Toronto. His fledgling career gets a boost when his boss Victor gives him a cover story article to write. He has mixed feelings about it because of the topic: telephone dating. Victor gave him the assignment if only because the job wouldn't threaten his stable marriage to his wife Sarah, despite Victor stipulating that Be... Leer todo"",89,apartment hunting,2000";;;;;
142,5.5,Joey Travolta,Glen Merzer,Enemies tells the story of a playwright and sitcom writer Paul Halpern (Academy Award Nominee David Paymer) who can't buy a break!,90,enemies of laughter,2000;;;;;
"143,5.9,Markku Pölönen,""['Esko Janhunen', 'Heikki Metsämäki', 'Markku Pölönen']"",""The life of Rauli """"Badding"""" Somerjoki, a Finnish singer."",103,badding,2000";;;;;
"144,6.0,""['Pontus Löwenhielm', 'Patrick von Krusenstjerna']"",Bix Skahill,-,98,chain of fools,2000";;;;;
"145,5.6,Ere Kokkonen,""['Ere Kokkonen', 'Arto Paasilinna']"",""Two men, who both have tried to commit a suicide, decide to found a """"Let's do it together""""-suicide association to help the self-destructive people to succeed in their goal. Soon they have a bus load of candidates and together they start a bus tour in order to find a suitable place for the mass suicide. The trip takes them from Finland via Norway to the Central Europe.... Leer todo"",118,hurmaava joukkoitsemurha,2000";;;;;
