puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
4.8,Alexandra-Therese Keining,Alexandra-Therese Keining,"22-year-old Josefine move from Stockholm to Malmö in search of a better life. In an art class in Copenhagen she meets Elvis, an exuberant Dane. What begins as an innocent one-night stand grows into something bigger.",91,Drama,hot dog,2002
7.3,Petr Zelenka,Petr Zelenka,"Documentary maker Jan Holman follows the ultrafamous singer/songwriter Jaromír Novahica during his tour with the band Cechomor. The combination is very succesful, but it draws a heavy toll on the band members and Jan Holman.",88,Drama,rok dábla,2002
6.2,"['Sylvia Chang', 'Alan Yuen']","['Sylvia Chang', 'Alan Yuen']","When Joker meets Ling in a disco one night, he feels that he has found the perfect model of his dream project, Princess-d. Based on the image of Ling, he plans to create a novel virtual idol on the internet. In reality, however, Ling is the opposite of the perfect image. Her father is jailed for life, her mother remains half-conscious after an attack, and her brother ... Leer todo",106,Drama,seung fei,2002
6.8,Amber Benson,Amber Benson,A young woman tries to find the right man to be with while dealing with her own life and family problems.,75,Drama,chance,2002
6.2,Sandrine Ray,"['Antoine Lacomblez', 'Sandrine Ray']","After a brutal attack, a 19-year-old girl falls into a self-destructive cycle.",95,Drama,vivante,2002
5.8,John Schmidt,"['Patrick Egan', 'Robert Pierce']",Two professional solo climbers form an uneasy partnership after a successful rescue mission grants them the gift of a lifetime.,98,Drama,the climb,2002
5.8,Alex Proyas,"['Alex Proyas', 'Dave Warner', 'Michael Udesky']",-,105,Drama,garage days,2002
3.6,Enrique Álvarez,"['Sygfredo Ariel', 'Enrique Álvarez']","Four young people meet up in the harbour of Havana. A colourful Caribbean story about exile, love and earning money.",93,Drama,miradas,2002
5.9,Sergei Bodrov,"['Sergei Bodrov', 'Carolyn Cavallero', 'Terrence Malick']","A fairy tale-like love story between young circus artist Lola and the bear Misha, who one day transforms into a human.",101,Drama,bear's kiss,2002
4.0,Jon C. Scheide,Ray Stroeber,The Rose Technique revolves around the life of an off-beat psychiatrist who wants to join the crazy world of daytime TV.,97,Drama,the rose technique,2002
5.7,Robert Duvall,Robert Duvall,-,114,Drama,assassination tango,2002
6.1,Cess Silvera,Cess Silvera,-,95,Drama,shottas,2002
5.2,David Mackay,"['Thomas Ian Griffith', 'Greg Mellott']","In an Alaskan fishing town, a local crime boss suspects a local fisherman knows where his stolen money is, but this fisherman is no regular Joe.",100,Drama,black point,2002
6.3,Rich Thorne,Mark Thompson,"Keith Bennets mother passed away a year ago, and he feels like he has moved on with his life, until one morning his mothers jewelry shows up on Keiths bathroom sink. The same jewelry she was buried in. Keith tells his wife Karen, about the jewelry and that is the last straw. She claims he is distant and has shut her out. Now he thinks he is seeing things that aren't t... Leer todo",76,Drama,mother ghost,2002
7.0,Chris Eyre,"['Adrian C. Louis', 'Jennifer D. Lyne']",-,84,Drama,skins,2002
6.3,Eric Byler,"['Eric Byler', 'Jeff Liu']","Michael, a young mechanic, is forced to choose between a daring tryst with an alluring stranger and the habitual comfort of his bittersweet obsession: his beautiful young tenant.",85,Drama,charlotte sometimes,2002
5.8,Vincent Perez,"['Vincent Perez', 'Karine Silla', 'Jérôme Tonnerre']","A grief-stricken man who just lost his mother has a one night stand with a maid. What he doesn't know is that she's a virgin. He returns to his sad world of perfume business while she, unable to forget her first lover, follows him.",85,Drama,peau d'ange,2002
4.8,Gurudev Bhalla,"['Urmi Juvekar', 'Tanveer Khan']",A miscreant who commits a misdemeanor is sentenced to do community service in an old-folks home.,155,Drama,shararat,2002
4.4,"['Constance L. Hoy', 'Matt Lagman']",Matt Lagman,-,90,Drama,training wheels,2002
6.8,Otar Iosseliani,Otar Iosseliani,"Vincent lives in a village. Every morning he goes to the factory to work, and in the evening he takes care of his family. One day, he decides to go on a trip with the money given by his father.",-,Drama,lundi matin,2002
5.6,Stephan Brenninkmeijer,Stephan Brenninkmeijer,-,93,Drama,swingers,2002
6.6,Mladen Maticevic,"['Srdja Andjelic', 'Mladen Maticevic']","Macak (The Cat) is the best basketball player around the blocks of New Belgrade. Meanwhile, his friend is bullied by a local gangster Coma, whom he owns money. To pay off his debt, Macak will play 1 on 1 with the rival player, eventually winning it. However, Coma doesn't stand on his promise, so Macak decides to solve this problem the other way.",90,Drama,1 na 1,2002
6.1,Claude Lelouch,"['Claude Lelouch', 'Pierre Leroux', 'Pierre Uytterhoeven']",A jazz singer and a British jewel thief are brought together by their mutual desire to forget the past.,133,Drama,and now... ladies and gentlemen...,2002
4.7,"['Frédéric Saurel', 'Jan Kounen']","['Frédéric Saurel', 'Xavier Thiam']",-,90,Drama,bâtards,2002
6.1,"['Gerhard Ertl', 'Sabine Hiebler']","['Gerhard Ertl', 'Sabine Hiebler']",Three stories about couples who all have a gas station in Austria.,90,Drama,nogo,2002
7.3,Cédric Klapisch,Cédric Klapisch,-,122,Drama,l'auberge espagnole,2002
6.3,Mark Medoff,"['Truman Capote', 'Douglas Sloan']","12 year old Lily Bobbit moves to Medda, Ala, and immediately makes an impression on the residents when she and her friends team up to outsmart a con man, the town is changed forever.",102,Drama,children on their birthdays,2002
5.9,Olivier Assayas,Olivier Assayas,"A French corporation goes head-to-head with an American web media company for the rights to a 3-D manga pornography studio, resulting in a power struggle that culminates in violence and espionage.",129,Drama,demonlover,2002
4.8,Bill Corcoran,"['John Patus', 'Paul Lalonde', 'Jerry B. Jenkins']","After the Rapture and the revealing of the identity of the Antichrist, a group of converts form the Tribulation Force, a secret society with the sole purpose of converting non-believers to Christianity.",94,Drama,left behind ii: tribulation force,2002
6.5,Tony Ayres,Roger Monk,"After the death of a friend, a household of long time friends and family are tossed into the myopic world of grief, where jealousy, betrayal and desire override more polite reactions to death.",90,Drama,walking on water,2002
5.1,John Polson,"['Charles F. Bohl', 'Phillip Schneider']",A high school senior with a promising swimming career has a one-night stand with consequences.,85,Drama,swimfan,2002
6.9,Michael Hoffman,"['Ethan Canin', 'Neil Tolkin']",-,109,Drama,the emperor's club,2002
5.1,Jerzy Antczak,"['Jerzy Antczak', 'Jadwiga Baranska']","A tangled web of unruly passion lies at the center of this drama, chronicling the stormy affair between the great piano virtuoso Frédéric Chopin and the flamboyant feminist writer George Sand.",134,Drama,chopin: desire for love,2002
5.8,David Anspaugh,John Meadows,-,96,Drama,wisegirls,2002
5.0,Jordan Susman,Jordan Susman,A dramedy that centers on a self-procalimed anarchist and his like-minded friends.,101,Drama,the anarchist cookbook,2002
6.7,Paul Goldman,"['Phillip Gwynne', 'Paul Goldman']","In Prospect Bay, a remote outpost on the South Australian coast, two communities, the Goonyas and the Nungas, come together on the one field they have in common, the football field. But the underlying racism and class warfare threatens to make the team's greatest victories irrelevant. This holds particularly true for Blacky, a white teen who is more interested in book... Leer todo",95,Drama,australian rules,2002
5.8,Victor Nunez,Victor Nunez,"An ex-con returns to his Florida hometown after three years and becomes involved with the wife of his best friend, the local Sheriff.",110,Drama,coastlines,2002
8.0,Ezio Massa,"['Jorge Bechara', 'Ezio Massa']","Daniel and Nico (Daniel's 10 years old son) returns to 'Redemption' his hometown: There's an old time friend, a woman and a secret.. Sun rises 2 cars arrives to the town.. The MANHUNT Begins.",90,Drama,cacería,2002
5.8,Matthew Bright,"['Stephen Johnston', 'Matthew Bright']",-,99,Drama,ted bundy,2002
6.2,Garrett Bennett,"['Garrett Bennett', 'Steve Edmiston', 'Neil Weinberger']","A down-and-out writer, Nick Sennet, runs into Harry, a man that, legend has it, died long ago. Together they attempt to revitalize a defunct factory as well as their lives.",103,Drama,farewell to harry,2002
7.3,Shuqin Huang,"['Lili Gao', 'Shuqin Huang', 'Qi Zhang']",-,-,Drama,hi frank!,2002
5.5,Andrzej Sekula,"['Sean Hood', 'Ernie Barbarash', 'Lauren Mc', 'Laughlin']",-,94,Drama,cube 2: hypercube,2002
6.3,Urs Egger,Jens Urban,"Jochen Epstein wird aus dem Gefängnis entlassen, in dem er 15 Jahre wegen Mordes eingesessen hatte. Er ist entschlossen, aus Deutschland auszuwandern und die Vergangenheit für immer hinter sich zu lassen. Doch vertraute Orte, verdrängte Erinnerungen und eine nie vergessene Freundin sprengen den Panzer, den der Alte um sich aufgebaut hat. Alles begann an seinem letzten... Leer todo",82,Drama,epsteins nacht,2002
7.0,Emanuele Crialese,Emanuele Crialese,-,95,Drama,respiro,2002
6.0,Amy Hobby,Karl Geary,"A touching and humorous story about a man who gets cold feet, leaving his bride at the altar. On return to mend their relationship, he finds she is engaged to another man.",93,Drama,coney island baby,2002
