,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
136,-,Joel Sadilek,Joel Sadilek,"Fidel Castro and his soldiers take a boat trip to Miami in search of Castro's favorite brand of cigar, 'Miami Specials'. After a close encounter with the U.S. Coast Guard, they change course for Los Angeles. While in LA, a day of sightseeing turns into a showdown with a double crossing soldier.",18,castro's day in los angeles,2001
137,-,Marcelo Müller,"['Marcelo Müller', 'Patricia Ramos']",-,12,bendita tv,2001
138,-,Esteban Rojas,Esteban Rojas,Hugo travels more than 400 miles to meet his Internet girlfriend only to find trouble on the road including a loose psycho killer.,-,siga participando,2001
139,5.3,"['Ryan Mc', 'Donald']","['Ryan Mc', 'Donald']",-,-,terminator,2001
140,-,Steve Piscopo,Steve Piscopo,-,7,mootrix,2001
141,8.5,Fran Casanova,Fran Casanova,-,2,matanza máxima,2001
142,-,Satoshi Nakajima,-,-,1,furutasan kyouryuu ni noru,2001
143,-,Satoshi Nakajima,-,-,20,hoshifuru yoru wa anata to,2001
144,7.8,Patricio Valladares,Patricio Valladares,A young man transforms into a zombie. He seems to be demonically possessed. Will he be saved from doom? Or will he bring about the zombie apocalypse?,23,aberración,2001
145,-,Vince Remo,Vince Remo,Four friends go on a hiking adventure and unravel a secret alliance between Aliens and Government Officials and end up fighting for their lives.,-,archive 21,2001
146,6.5,John Frankenheimer,-,Biker Thief steals a bottle of 7UP from a youth then he chases the thief down in a tank.,1,7up commercial james bond theme,2001
147,-,Mike Celestino,Mike Celestino,-,5,my evil twin,2001
148,-,Julian Ashton,"['Julian Ashton', 'Thomas Meadmore']",-,4,the penitent man,2001
149,-,Jimmy Lui,Jimmy Lui,An art thief falls is hired to steal a classical manuscript by composer Robert Schumann but falls in love with the ailing piano teacher that owns it.,26,pianoforte,2001
150,-,Chris R. Nelson,"['Andy Berger', 'Chris R. Nelson', 'Mike Stock']","When a New Jersey mob boss discovers that his shipment of cocaine has been replaced with a shipment of Kool-Aid, he heads out on a violent rampage in search of those responsible.",11,slippery when wet: the movie,2001
151,-,Felipe Vergara Vargas,"['Ray Figueroa', 'Felipe Vergara Vargas']",-,12,death metal trip,2001
152,9.3,"['Mark Lewis', 'Jason Impey']",Nick Mcleish,A war is brewing between the humans and the squirrels. There is only one hope - four elite warriors.,8,the squirrel hunters,2001
153,-,Alice Chen,Alice Chen,-,-,unconditional,2001
154,-,Fran Casanova,Fran Casanova,-,-,tiempo muerto,2001
155,-,Farhad Bazyan,-,-,-,when you were asleep,2001
156,-,Dylan Verrechia,"['Regis Trigano', 'Dylan Verrechia']",-,1,hugo boss: hugo woman,2001
157,-,"['Tim Mc', 'Lachlan']","['Tim Mc', 'Lachlan']",A supermarket trolley boy escapes into his vivid imagination in order to distract himself from his real world troubles.,26,trolley boy,2001
158,-,Bruno Bini,Bruno Bini,"A light bulb. A bible. A gun. You think not, but it could have happened to you.",-,baseado em fatos reais,2001
159,6.5,James Rolfe,James Rolfe,"A blend of sci-fi, horror and martial arts.",26,kung fu werewolf from outer space,2001
160,-,Patrick L. Coleman,Patrick L. Coleman,-,10,nowhere to run,2001
161,-,Mark Penney,Mark Penney,-,6,eye for an eye,2001
162,-,Eric Jacobus,Eric Jacobus,-,8,transaction,2001
163,-,Matthew K. Hacker,Matthew K. Hacker,A ruthless killer takes a neighborhood by surprise and only two cops have the power to bring him down.,-,in cold blood,2001
164,-,Jennifer Blaylock,Andrew Lenz,-,-,matrixx,2001
165,-,Stephen Groo,Stephen Groo,"There has been a secret power passed down through the ages and now it will be passed to another. However, an evil force wants this power and will do anything to get it. Guardians have been entrusted to protect thi spower not to get into evil hands.",20,the yenri,2001
166,-,Gulam Haider,-,-,-,dhriti pati sarkar ka dwand,2001
167,-,Alan Lau,Alan Lau,-,3,penelope pitstop gt,2001
168,-,"['Matt Hoffman', 'Matt Brassfield']","['Matt Brassfield', 'Matt Hoffman']","Ohio is being overrun by werewolves that are all following the orders of their king Malice who is causing death and panic throughout the state, but the state has one chance to survive and its the legendary Wolf Hunter.",35,the wolf hunter,2001
169,-,Deronte Smith,Deronte Smith,"Five college friends reunite for a celebration, but hidden secrets are revealed that could threaten their friendship.",-,game,2001
170,-,Hideaki Anno,Gô Nagai,-,-,cutie honey presentation pilot film,2001
171,6.1,Lee Demarbre,Ian Driscoll,"Harry Knuckles (code name Spanish Fly) must stop his nemesis who has kidnapped his daughter and poisoned her. Harry and his partner, Santo must find the serum that can save her and stop the ancient Aztec Mummy and it's evil zombies that pursue.",27,harry knuckles and the treasure of the aztec mummy,2002
172,-,Kasimir Lehto,Kasimir Lehto,-,15,i survived the redesign,2002
