,0,1,2
821,America's Sweethearts,2001,32
822,Mondscheintarif,2001,
823,Let's Get Skase,2001,
824,"Scotland, PA",2001,
825,Lipgloss Explosion!,2001,
826,The Socratic Method,2001,-
827,Voyance et manigance,2001,
828,Monsoon Wedding,2001,95
829,De vriendschap,2001,
830,L'ultimo bacio,2001,
831,Without Charlie,2001,
832,Dumb Luck,2001,
833,Chaos,2001,84
834,Elvira's Haunted Hills,2001,69
835,Commedia sexy,2001,
836,Pizzás,2001,
837,The Royal Tenenbaums,2001,81
838,Kissing Jessica Stein,2001,83
839,American Chai,2001,52
840,Los niños invisibles,2001,
841,Das Sams,2001,
842,Geregelte Verhältnisse,2001,
843,Rush Hour 2,2001,51
844,Bad Karma,2001,24
845,Karmina 2,2001,
846,Recess: School's Out,2001,60
847,Barnie et ses petites contrariétés,2001,
848,"UP, Michigan!",2001,
849,Amici ahrarara,2001,
850,Hollywood Sex Fantasy,2001,
851,Lunch with Charles,2001,-
852,Barstow 2008,2001,
853,Wooly Boys,2001,63
854,Carrément à l'Ouest,2001,
855,Jimmy Neutron: Boy Genius,2001,74
856,The Man Who Sued God,2001,71
857,El paraíso ya no es lo que era,2001,
858,The Shipment,2001,
859,"Amor, curiosidad, prozak y dudas",2001,
860,Ma femme est une actrice,2001,
861,Betty Fisher et autres histoires,2001,
862,Jacobs frestelse,2001,
863,Amatørene,2001,
864,Confession d'un dragueur,2001,
865,Two Can Play That Game,2001,40
866,Puder,2001,
867,Nexxt,2001,
868,Reines d'un jour,2001,
869,VII. Olivér,2001,
870,Tündérdomb,2001,
871,Vizontele,2001,88
872,Utolsó vacsora az Arabs Szürkénél,2001,
873,La pena máxima,2001,
874,Costa!,2001,
875,Kuch Khatti Kuch Meethi,2001,36
876,Absolument fabuleux,2001,55
877,L'art (délicat) de la séduction,2001,
878,Blek Giek,2001,
879,Mujhe Meri Biwi Se Bachaao,2001,
880,Jump Tomorrow,2001,82
881,The Jimmy Show,2001,40
882,Happy Now,2001,79
883,Les âmes câlines,2001,
884,Känd från TV,2001,
885,15 août,2001,
886,Heinrich der Säger,2001,
887,The Crooked Mile,2001,
888,According to Spencer,2001,22
889,Dead Dogs Lie,2001,
890,Chung Mou Yim,2001,
891,HS - hors service,2001,
892,Îles flottantes,2001,
893,The Accidental Spy,2001,25
894,Festival in Cannes,2001,65
895,Apparao Ki Oka Nela Thappindi,2001,
896,30 Years to Life,2001,67
897,En kort en lang,2001,
898,Meine polnische Jungfrau,2001,
899,Kleine Kreise,2001,-
900,Robbie's Brother,2001,
901,Max Keeble's Big Move,2001,29
902,Tango Kabaree,2001,
903,Pas d'histoires!,2001,
904,Mongoland,2001,84
905,Higher Ed,2001,
906,Haiku Tunnel,2001,
907,Feri és az édes élet,2001,
908,"Caruso, zero in condotta",2001,
909,Come si fa un Martini,2001,
